frame,player_id,x,y
0,1,1511,1164
1,1,1531,1168
2,1,1525,1172
3,1,1516,1160
4,1,1535,1168
5,1,1538,1167
6,1,1542,1163
7,1,1570,1158
8,1,1553,1164
9,1,1536,1148
10,1,1553,1141
11,1,1568,1148
12,1,1563,1146
13,1,1566,1120
14,1,1572,1132
15,1,1588,1159
16,1,1589,1160
17,1,1597,1155
18,1,1611,1155
19,1,1602,1145
20,1,1605,1150
21,1,1617,1143
22,1,1598,1140
23,1,1611,1143
24,1,1612,1149
25,1,1616,1156
26,1,1619,1144
29,1,1640,1131
30,1,1615,1130
31,1,1593,1126
32,1,1644,1130
33,1,1660,1135
34,1,1660,1119
35,1,1646,1123
36,1,1633,1124
37,1,1653,1115
38,1,1652,1110
39,1,1660,1111
40,1,1642,1118
41,1,1647,1107
42,1,1654,1123
43,1,1655,1119
44,1,1676,1092
45,1,1653,1094
46,1,1658,1095
47,1,1653,1104
48,1,1649,1131
49,1,1656,1127
50,1,1662,1114
51,1,1648,1136
52,1,1662,1119
53,1,1651,1127
54,1,1655,1121
55,1,1660,1112
56,1,1662,1119
57,1,1667,1121
58,1,1666,1108
59,1,1680,1115
60,1,1666,1103
61,1,1672,1102
62,1,1674,1113
63,1,1680,1089
64,1,1684,1093
65,1,1691,1090
66,1,1697,1096
67,1,1700,1115
68,1,1711,1106
69,1,1716,1108
70,1,1721,1113
71,1,1732,1103
72,1,1738,1096
73,1,1745,1097
74,1,1753,1100
75,1,1762,1102
76,1,1763,1093
77,1,1771,1079
78,1,1785,1094
79,1,1791,1070
80,1,1795,1115
81,1,1806,1109
82,1,1819,1116
83,1,1827,1124
84,1,1836,1125
85,1,1841,1109
86,1,1855,1117
87,1,1863,1125
88,1,1878,1130
89,1,1888,1114
90,1,1899,1119
91,1,1907,1109
92,1,1916,1111
93,1,1925,1127
94,1,1938,1131
95,1,1952,1118
96,1,1964,1126
97,1,1973,1130
98,1,1976,1118
99,1,1994,1120
100,1,2004,1118
101,1,2016,1116
102,1,2022,1107
103,1,2028,1123
104,1,2050,1095
105,1,2056,1091
106,1,2061,1134
107,1,2070,1139
108,1,2082,1142
109,1,2097,1144
110,1,2105,1146
111,1,2120,1141
112,1,2129,1135
113,1,2143,1145
114,1,2151,1137
115,1,2159,1138
116,1,2181,1123
117,1,2182,1132
118,1,2197,1128
119,1,2210,1135
120,1,2221,1134
121,1,2237,1133
122,1,2244,1127
123,1,2259,1124
124,1,2272,1133
125,1,2277,1141
126,1,2283,1140
127,1,2396,803
128,1,2381,897
129,1,2379,944
130,1,2370,979
131,1,2345,1103
132,1,2351,1139
133,1,2358,1141
134,1,2380,1147
135,1,2381,1154
136,1,2392,1164
137,1,2402,1158
138,1,2416,1151
139,1,2418,1174
140,1,2421,1187
141,1,2441,1180
142,1,2450,1179
143,1,2454,1198
144,1,2471,1181
145,1,2479,1209
146,1,2493,1219
147,1,2501,1216
148,1,2494,1221
149,1,2511,1220
150,1,2539,1215
151,1,2517,1210
152,1,2547,1203
153,1,2555,1216
154,1,2567,1211
155,1,2578,1192
156,1,2548,1197
157,1,2590,1208
158,1,2606,1274
159,1,2605,1208
160,1,2608,1215
161,1,2623,1215
162,1,2633,1216
163,1,2645,1212
164,1,2645,1237
165,1,2655,1237
166,1,2658,1241
167,1,2670,1213
168,1,2684,1212
169,1,2689,1228
170,1,2697,1230
171,1,2696,1224
172,1,2704,1216
173,1,2719,1224
174,1,2717,1221
175,1,2732,1219
176,1,2738,1210
177,1,2747,1209
178,1,2753,1210
179,1,2761,1205
180,1,2762,1214
181,1,2770,1226
182,1,2785,1218
183,1,2789,1216
184,1,2804,1210
185,1,2815,1218
186,1,2830,1207
187,1,2836,1206
188,1,2852,1215
189,1,2858,1215
190,1,2865,1218
191,1,2870,1220
192,1,2875,1223
193,1,2877,1229
194,1,2880,1228
195,1,2897,1228
196,1,2885,1245
197,1,2897,1242
198,1,2890,1262
199,1,2898,1255
200,1,2895,1267
201,1,2910,1270
202,1,2905,1290
203,1,2910,1290
204,1,2904,1325
205,1,2927,1299
206,1,2936,1305
207,1,2942,1315
208,1,2949,1320
209,1,2956,1312
210,1,2973,1288
211,1,2979,1314
212,1,2982,1302
213,1,2974,1326
214,1,2986,1313
215,1,2982,1324
216,1,2980,1334
217,1,2990,1327
218,1,2988,1343
219,1,3002,1329
220,1,3008,1337
221,1,3012,1332
222,1,3022,1317
223,1,3020,1323
224,1,3015,1329
225,1,3026,1325
226,1,3032,1316
227,1,3045,1311
228,1,3046,1307
229,1,3075,1280
230,1,3077,1279
215,2,2632,1016
216,2,2635,1031
217,2,2658,1031
218,2,2640,1087
219,2,2658,1085
220,2,2670,1074
221,2,2689,1038
222,2,2696,1013
223,2,2688,1040
224,2,2688,1014
225,2,2664,1116
226,2,2642,1161
227,2,2616,1212
228,2,2616,1235
229,2,2615,1225
230,2,2647,1214
210,3,2989,373
211,3,3013,390
212,3,3017,399
213,3,3005,388
214,3,3003,397
215,3,2994,398
216,3,3020,432
217,3,3000,433
218,3,2995,466
219,3,2982,479
220,3,2995,482
221,3,2992,491
222,3,2994,483
223,3,2994,495
224,3,2992,492
225,3,2999,503
226,3,2993,501
227,3,3006,499
228,3,2998,497
229,3,2997,491
230,3,3059,493
152,4,2739,651
153,4,2686,632
154,4,2723,521
155,4,2714,523
156,4,2673,560
157,4,2683,562
158,4,2713,612
159,4,2672,556
160,4,2688,500
161,4,2692,482
162,4,2658,531
163,4,2656,526
164,4,2675,461
165,4,2618,604
166,4,2631,580
167,4,2621,571
168,4,2617,582
169,4,2611,584
170,4,2599,581
171,4,2598,572
172,4,2587,577
173,4,2591,564
174,4,2586,559
175,4,2581,575
176,4,2579,571
177,4,2572,577
178,4,2566,581
179,4,2567,587
180,4,2567,598
181,4,2562,596
182,4,2563,589
183,4,2559,588
184,4,2568,574
185,4,2563,589
186,4,2566,600
187,4,2557,602
188,4,2553,617
189,4,2559,612
190,4,2557,622
191,4,2539,609
192,4,2543,608
193,4,2548,594
194,4,2552,596
195,4,2577,606
196,4,2543,627
197,4,2550,611
198,4,2550,623
199,4,2588,572
200,4,2596,590
201,4,2597,581
202,4,2640,488
203,4,2626,508
204,4,2575,667
205,4,2581,639
206,4,2585,656
207,4,2585,645
208,4,2573,664
209,4,2578,652
210,4,2548,650
211,4,2567,664
212,4,2569,658
213,4,2551,670
214,4,2552,697
215,4,2553,694
216,4,2563,657
217,4,2594,662
218,4,2571,683
219,4,2588,677
220,4,2589,702
221,4,2586,713
222,4,2582,706
223,4,2581,714
224,4,2566,719
225,4,2569,749
226,4,2577,760
227,4,2573,742
228,4,2573,752
229,4,2571,743
230,4,2640,718
167,5,2734,664
168,5,2716,710
169,5,2603,995
171,5,2683,788
177,5,2613,1060
178,5,2569,1126
180,5,2599,1070
181,5,2583,1130
182,5,2580,1142
184,5,2597,1127
185,5,2586,1144
186,5,2578,1157
187,5,2605,1071
188,5,2607,1073
189,5,2610,1067
190,5,2578,1147
191,5,2564,1184
192,5,2604,1087
193,5,2607,1096
194,5,2616,1105
195,5,2619,1118
196,5,2618,1132
197,5,2626,1144
198,5,2632,1153
199,5,2641,1158
200,5,2633,1162
201,5,2657,1168
202,5,2663,1173
203,5,2666,1160
204,5,2665,1189
205,5,2679,1169
206,5,2679,1170
207,5,2684,1174
208,5,2691,1174
209,5,2703,1176
210,5,2708,1171
211,5,2715,1179
212,5,2726,1174
213,5,2719,1195
214,5,2732,1191
215,5,2736,1180
216,5,2732,1194
217,5,2744,1178
218,5,2737,1185
219,5,2750,1180
220,5,2759,1190
221,5,2760,1196
222,5,2761,1192
223,5,2768,1189
224,5,2756,1199
225,5,2775,1204
226,5,2780,1198
227,5,2787,1193
228,5,2782,1208
229,5,2786,1196
230,5,2811,1181
